                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     32,                    nan,                    nan,                    nan,                  6e-05,                0.01818,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     33,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00015,                  2e-05,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     34,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     35,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     36,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     37,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     38,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     39,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     40,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00014,                  2e-05,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     41,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  8e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     42,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  8e-05,                  1e-05,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     43,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  8e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     44,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  8e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     45,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  8e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     46,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00012,                  2e-05,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     47,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00012,                  2e-05,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     48,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  8e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     49,                    nan,                    nan,                    nan,                0.00025,                0.07273,                0.00015,                  2e-05,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     50,                    nan,                    nan,                    nan,                  6e-05,                0.01818,                  5e-05,                  1e-05,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
