                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00013,                  3e-05,                    nan,                    nan,                    nan,                0.00042,                0.00042,                0.00042
                      2,                    nan,                    nan,                    nan,                0.00019,                0.05455,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,             0.00084297,             0.00084297,             0.00084297
                      3,                    nan,                    nan,                    nan,                0.00019,                0.05455,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,              0.0012485,              0.0012485,              0.0012485
                      4,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00014,                  3e-05,                    nan,                    nan,                    nan,              0.0016366,              0.0016366,              0.0016366
                      5,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00017,                  4e-05,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      7,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00074,                0.00015,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      8,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00104,                0.00017,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      9,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00366,                0.00052,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     10,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00012,                  2e-05,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     11,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00015,                  2e-05,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     12,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  2e-05,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     13,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00015,                  2e-05,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     14,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00016,                  2e-05,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     15,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00018,                  3e-05,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     16,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     17,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     18,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     19,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     20,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     21,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     22,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  2e-05,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     23,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     24,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  2e-05,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     25,                    nan,                    nan,                    nan,                  6e-05,                0.01818,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     26,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  2e-05,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     27,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00017,                  2e-05,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     28,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     29,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     30,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
