                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00012,                  3e-05,                    nan,                    nan,                    nan,                0.00042,                0.00042,                0.00042
                      2,                    nan,                    nan,                    nan,                0.00019,                0.05455,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,             0.00077486,             0.00077486,             0.00077486
                      3,                    nan,                    nan,                    nan,                0.00019,                0.05455,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,              0.0010426,              0.0010426,              0.0010426
                      4,                    nan,                    nan,                    nan,                0.00019,                0.05455,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,              0.0012232,              0.0012232,              0.0012232
                      5,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00011,                  3e-05,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                      6,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00011,                  3e-05,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                      7,                    nan,                    nan,                    nan,                0.00021,                0.05455,                0.00013,                  3e-05,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                      8,                    nan,                    nan,                    nan,                0.00021,                0.05455,                0.00043,                  7e-05,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                      9,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00023,                  5e-05,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     10,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                 0.0004,                  7e-05,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
